"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"94522647-43f8-419a-a2d2-55c9bde5392c","Domar a la divina garza - Sergio Pitol.txt","mi protagonista","char-offset:13573","","","","","","","","","#creación literaria|#narrativa|#personajes|#puesta en abismo","Creación literaria,  narrativa, personajes","",""
"561f672a-a589-4e30-bf25-a9f000aee9ad","Domar a la divina garza - Sergio Pitol.txt","personajes","char-offset:13720","","","","","","","","","#narrativa|#creación literaria|#personajes","Campo semántico: creación literaria","",""
"d49582da-ce0f-49b1-8a90-052d25fcecf8","Domar a la divina garza - Sergio Pitol.txt","C)","char-offset:13774","","","","","","","","","#creación literaria|#narrativa|#puesta en abismo|#intertexto","Tercera referencia","",""
"dfc6a158-7026-4923-ab94-9497b1506571","Domar a la divina garza - Sergio Pitol.txt","Pepe Brozas","char-offset:13778","PERSON","","","","","","","","#creación literaria|#narrativa|#personajes","Apodo de José Rosas, compañero del viejo novelista y de Carlos Montiel de la UNAM
Personaje de ficción","",""
"4a07394c-ca3a-4849-96ad-583549cce7e3","Domar a la divina garza - Sergio Pitol.txt","José Rosas","char-offset:13941","PERSON","","","","","","","","","José Rosas,  cuyo apodo era Pepe Brozas, era compañero del viejo novelista y de Carlos Montiel de la UNAM
Personaje de ficción","",""
"1b4a6c5e-ccee-40ef-a0db-0b3d60870281","Domar a la divina garza - Sergio Pitol.txt","Facultad","char-offset:13969","PLACE","http://sws.geonames.org/3530597","Mexico City","","19.42847","-99.12766","","VERIFIED","#creación literaria|#narrativa|#personajes","Se refiere a la UNAM, ubicada en la Ciudad de México, donde se conocieron durante su formación universitaria","",""
"7dea83f8-a0f8-4e08-bc1c-8e71061c4a26","Domar a la divina garza - Sergio Pitol.txt","Piedras Negras","char-offset:14103","PLACE","http://sws.geonames.org/3992619","Piedras Negras","","28.70007","-100.52353","","VERIFIED","#creación literaria|#personajes|#escenario","","",""
"26916d0e-1f2b-4110-aab3-a2cdd7cfa139","Domar a la divina garza - Sergio Pitol.txt","México","char-offset:14127","PLACE","http://sws.geonames.org/3523272","México","","19.364702786652465","-99.63794497692585","","VERIFIED","#creación literaria|#personajes|#escenario","","",""
"146b109e-ec26-4830-9ed9-94a48db64d36","Domar a la divina garza - Sergio Pitol.txt","Roma,","char-offset:14200","PLACE","http://dare.ht.lu.se/places/45810","Infernaccio, Roma","","41.82796","12.41433","","VERIFIED","#creación literaria|#personajes|#escenario|#Europa","","",""
"d057b443-b656-40c3-952d-9104909fd085","Domar a la divina garza - Sergio Pitol.txt","Cuernavaca","char-offset:14828","PLACE","http://sws.geonames.org/3529947","Cuernavaca","","18.9261","-99.23075","","VERIFIED","#narrativa|#personajes|#escenario","","",""
"eac42bed-7808-4101-8cde-23f0a4c081be","Domar a la divina garza - Sergio Pitol.txt","Dante Alighieri","char-offset:15022","PERSON","","","","","","","","#creación literaria|#narrativa|#novelista","Dante Alighieri, bautizado Durante di Alighiero degli Alighieri (Florencia, c. 29 de mayo de 1265-Rávena, 14 de septiembre de 1321), fue un poeta y escritor italiano, conocido por escribir la Divina comedia, una de las obras fundamentales de la transición del pensamiento medieval al renacentista y una de las cumbres de la literatura universal","",""
"d78a9d48-ecd8-4afe-87e1-3e17e9127656","Domar a la divina garza - Sergio Pitol.txt","La divina comedia","char-offset:15074","EVENT","","","","","","","","#creación literaria|#narrativa","Obra literaria de Dante Alighieri","",""
"860a0226-d495-443c-96b5-e072b5c19431","Domar a la divina garza - Sergio Pitol.txt","Berlín","char-offset:15439","PLACE","http://sws.geonames.org/3587266","Berlín","","13.5","-88.53333","","VERIFIED","#creación literaria|#escenario|#personajes|#viejo novelista","Lugar de residencia del viejo novelista","",""
"a0850595-c331-4923-a2a0-707489eb6577","Domar a la divina garza - Sergio Pitol.txt","nota sobre aquel alemán","char-offset:15478","","","","","","","","","#creación literaria|#narrativa|#personajes|#puesta en abismo","Cuarta referencia. ","",""
"2d76d3f0-1a40-4f1f-a1a1-4ebd2d83c85f","Domar a la divina garza - Sergio Pitol.txt","Matthias Glaubner o Glaubener.","char-offset:15541","PERSON","","","","","","","","#creación literaria|#narrativa|#personajes","Personaje de ficción.
Conocido del viejo novelista. Universidad","",""
"dc7f01d5-4116-4980-9bd5-cd5f49662b3f","Domar a la divina garza - Sergio Pitol.txt","Las ciudades invisibles","char-offset:16338","EVENT","","","","","","","","#creación literaria|#narrativa|#novela","Novela de Ítalo Calvino","",""
"514665dd-cdad-47d8-bcb1-52b966266a47","Domar a la divina garza - Sergio Pitol.txt","Calvino","char-offset:16365","PERSON","","","","","","","","#creación literaria|#narrativa|#novelista","Italo Calvino (Santiago de Las Vegas, Provincia de La Habana, 15 de octubre de 1923 - Siena, 19 de septiembre de 1985) fue un periodista y escritor italiano, principalmente de cuentos y novelas. Entre sus obras más conocidas se incluyen la trilogía Nuestros antepasados (1952–1959), la colección de cuentos de Las cosmicómicas (1965) y las novelas Ciudades invisibles (1972) y Si una noche de invierno un viajero (1979).","",""
"ac82f499-2323-4dea-8a80-71d33fc5534d","Domar a la divina garza - Sergio Pitol.txt","Calvino","char-offset:16541","PERSON","","","","","","","","#creación literaria|#narrativa|#novelista","Italo Calvino (Santiago de Las Vegas, Provincia de La Habana, 15 de octubre de 1923 - Siena, 19 de septiembre de 1985) fue un periodista y escritor italiano, principalmente de cuentos y novelas. Entre sus obras más conocidas se incluyen la trilogía Nuestros antepasados (1952–1959), la colección de cuentos de Las cosmicómicas (1965) y las novelas Ciudades invisibles (1972) y Si una noche de invierno un viajero (1979).","",""
"8561ec1e-615d-421a-98e1-43bec1a3df98","Domar a la divina garza - Sergio Pitol.txt","El sendero de los nidos de araña","char-offset:16713","EVENT","","","","","","","","#creación literaria|#narrativa|#novela","Primera novela de Ítalo Calvino","",""
"72875ee9-896c-48fa-8d9c-09ef9f0b5c79","Domar a la divina garza - Sergio Pitol.txt","una novela","char-offset:16915","","","","","","","","","#creación literaria|#narrativa","Proceso creativo","",""
